"Aliphatic alcohols" C3H6O 0.159 58 9.5 31.4 30.0 21.4 8.6 0.004 0.015
"Aliphatic alcohols" C6H12O 0.124 100 11.7 37.3 34.8 23.5 11.4 0.008 0.027
"Aliphatic ketones" C3H6O 0.205 58 9.5 29.7 28.5 21.7 6.8 0.001 0.009
"Aliphatic ketones" C4H8O 0.169 72 10.5 32.7 31.5 22.8 8.7 0.003 0.014
"Aliphatic ketones" C6H10O 0.164 98 11.2 35.9 34.5 24.7 9.7 0.004 0.017
"Aliphatic ketones" C6H12O2 0.161 116 9.5 37.3 35.7 25.5 10.2 0.004 0.015
"Other aliphatic fuels" C4H10O2 0.232 90 8.4 26.7 26.5 20.8 5.7 0.001 0.003
"Other aliphatic fuels" C6H12O3 0.204 132 7.8 32.2 31.6 24.0 7.6 0.001 0.006
"Other aliphatic fuels" C6H10O4 0.208 146 6.1 33.3 32.7 25.0 7.8 0.001 0.005
"Other aliphatic fuels" C9H14O6 0.195 218 6.0 36.9 36.0 27.0 9.0 0.001 0.007
"Other aromatic fuels" C7H6O 0.010 106 10.4 32.4 23.5 10.5 13.0 0.049 0.132
"Other aromatic fuels" C7H8O 0.010 108 10.8 32.6 23.7 10.6 13.1 0.048 0.130
"Other aromatic fuels" C8H8O 0.015 136 9.1 34.0 25.7 12.2 13.5 0.038 0.103
"Other aromatic fuels" C9H10O2 0.029 150 9.6 34.5 27.8 14.6 13.3 0.029 0.081
"Aliphatic fuels with other elements" C4H11N 0.089 73 14.6 38.0 34.3 21.6 12.7 0.012 0.036
"Aliphatic fuels with other elements" C4H11N 0.089 73 14.6 38.0 34.3 21.6 12.7 0.012 0.036
"Aliphatic fuels with other elements" C4H11N 0.089 73 14.6 38.0 34.3 21.6 12.7 0.012 0.036
"Aliphatic fuels with other elements" C6H15N 0.085 101 14.6 39.6 35.6 22.2 13.4 0.013 0.041
"Aliphatic fuels with other elements" C8H19N 0.083 129 14.6 40.6 36.4 22.6 13.8 0.014 0.043
"Aliphatic fuels with other elements" C12H27N 0.082 185 14.7 41.6 37.3 23.1 14.2 0.015 0.046
"Aliphatic fuels with other elements" C5H5N 0.022 79 12.6 32.2 25.3 12.7 12.6 0.035 0.096
"Aliphatic fuels with other elements" C6H7N 0.018 93 12.9 33.8 26.0 12.7 13.3 0.039 0.106
"Aliphatic fuels with other elements" C6H7N 0.018 93 12.9 33.8 26.0 12.7 13.3 0.039 0.106
"Aliphatic fuels with other elements" C7H9N 0.014 107 13.2 34.9 26.2 12.3 13.9 0.043 0.118
"Aliphatic fuels with other elements" C8H11N 0.013 121 13.3 35.7 26.6 12.4 14.2 0.045 0.122
"Aliphatic fuels with other elements" C9H7N 0.012 129 12.5 36.1 26.7 12.2 14.4 0.049 0.132
"Aliphatic fuels with other elements" C10H9N 0.011 143 12.7 36.7 26.9 12.2 14.7 0.050 0.136
"Aliphatic fuels with other elements" C10H15N 0.009 149 13.6 37.0 26.6 11.7 14.9 0.051 0.139
"Aliphatic fuels with other elements" C6H14S 0.062 118 12.2 33.0 28.7 16.9 11.8 0.015 0.045
"Aliphatic fuels with other elements" C7H16S 0.063 132 12.5 33.7 29.4 17.4 12.0 0.016 0.046
"Aliphatic fuels with other elements" C10H22S 0.062 174 13.0 34.9 30.4 17.9 12.5 0.017 0.050
"Aliphatic fuels with other elements" C12H26S 0.063 202 13.3 35.5 31.0 18.3 12.7 0.018 0.052
"Aliphatic fuels with other elements" C12H26S 0.063 202 13.3 35.5 31.0 18.3 12.7 0.018 0.052
"Aliphatic fuels with other elements" C14H30S 0.061 230 13.4 35.9 31.2 18.4 12.9 0.019 0.054
"Aliphatic fuels with other elements" C16H34S 0.061 258 13.6 36.3 31.6 18.6 13.0 0.019 0.055
"Aliphatic fuels with other elements" C20H42S 0.062 314 13.8 36.8 32.0 18.9 13.1 0.019 0.056
"Aliphatic fuels with other elements" C4H4S 0.016 84 9.8 31.9 24.3 11.6 12.6 0.030 0.082
"Aliphatic fuels with other elements" C5H6S 0.014 98 10.5 33.2 24.9 11.7 13.2 0.034 0.092
"Aliphatic fuels with other elements" C6H6S 0.013 110 10.6 34.1 25.4 11.8 13.6 0.037 0.101
"Aliphatic fuels with other elements" C7H8S 0.011 124 11.1 34.9 25.6 11.6 14.0 0.041 0.110
"Aliphatic fuels with other elements" C8H11S 0.011 155 11.6 36.2 26.5 12.0 14.5 0.041 0.112
